Unnamed: 0,Length,SentCount,Start,VerbRatio,NounRatio,ContentRatio,Redundancy,IDF,TTR,Entropy,ICR,ParentOverlap,MethodOverlap,RepoOverlap,PathOverlap,CodeOverlap,SemanticSim
0,6,1,VERB,0.3333333333333333,0.5,0.8333333333333334,0.1667110472917556,8.730735139218886,1.0,2.584962500721156,6.833333333333333,0.0,0.0,0.0,0.0,0.4999999999166666,0.4961243868610382
1,9,1,NOUN,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.0756444260478019,5.324814124618122,0.8888888888888888,2.94770277922009,1.7777777777777777,0.0,0.124999999984375,0.0,0.0,0.124999999984375,0.5337235906500272
2,12,1,VERB,0.1666666666666666,0.25,0.5,0.1015916094183921,5.120103719300782,0.8333333333333334,3.188721875540867,1.0,0.0,0.19999999998,0.0,0.0,0.29999999997,0.6253254591883171
3,9,1,VERB,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.1455050259828567,5.730123934709892,1.0,3.169925001442312,3.6666666666666665,0.1111111110987654,0.1111111110987654,0.0,0.0,0.3333333332962963,0.5610510645589358
4,9,1,VERB,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.1110600009560585,5.084677637555409,1.0,3.169925001442312,1.7777777777777777,0.0,0.1111111110987654,0.0,0.0,0.2222222221975308,0.4814614634088104
5,10,1,VERB,0.1,0.3,0.6,0.0797014236450195,4.860782881395495,1.0,3.321928094887362,1.6,0.0,0.0,0.0,0.0,0.59999999994,0.5130038204441061
6,10,1,VERB,0.2,0.3,0.6,0.1110206767916679,5.609383821487416,0.9,3.121928094887362,1.3,0.0,0.1111111110987654,0.0,0.0,0.2222222221975308,0.7282725081990029
7,10,1,VERB,0.2,0.5,0.7,0.1348145753145218,5.552641950100364,1.0,3.321928094887362,1.8,0.0,0.09999999999,0.09999999999,0.0,0.19999999998,0.7012072291410779
8,17,2,VERB,0.2352941176470588,0.4117647058823529,0.7647058823529411,0.1286057531833648,6.623344399122106,1.0,4.08746284125034,1.2941176470588236,0.0,0.0588235294083045,0.0,0.0,0.117647058816609,0.4249338586244433
9,10,3,VERB,0.2,0.4,0.7,0.1005324199795723,5.300164193102365,0.9,3.121928094887362,1.0,0.1111111110987654,0.1111111110987654,0.0,0.0,0.3333333332962963,0.6681518606061462
10,6,1,VERB,0.1666666666666666,0.3333333333333333,0.5,0.188832938671112,6.3676215006661865,1.0,2.584962500721156,4.0,0.0,0.0,0.0,0.0,0.1666666666388888,0.5093350395756301
11,12,1,VERB,0.1666666666666666,0.4166666666666667,0.6666666666666666,0.1131347492337226,4.819639275294648,0.8333333333333334,3.188721875540867,1.3333333333333333,0.09999999999,0.0,0.0,0.0,0.09999999999,0.2918663525905455
12,3,1,VERB,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.0848520547151565,5.38637578902431,1.0,1.584962500721156,3.6666666666666665,0.0,0.3333333332222222,0.0,0.0,0.3333333332222222,0.6934024061523364
13,8,1,VERB,0.125,0.25,0.5,0.0803327038884162,4.559712230447263,0.875,2.75,2.625,0.1428571428367347,0.1428571428367347,0.0,0.0,0.1428571428367347,0.6388880224981034
14,8,1,VERB,0.125,0.75,0.875,0.173247218132019,7.529137084989082,0.875,2.75,5.0,0.0,0.0,0.0,0.0,0.1428571428367347,0.2437099375755258
15,7,1,VERB,0.1428571428571428,0.4285714285714285,0.5714285714285714,0.1192631348967552,6.291885869715214,1.0,2.807354922057604,0.8571428571428571,0.0,0.0,0.1428571428367347,0.1428571428367347,0.1428571428367347,0.362962901067303
16,7,1,DET,0.1428571428571428,0.4285714285714285,0.5714285714285714,0.1209200024604797,5.0178422827484255,1.0,2.807354922057604,3.0,0.0,0.2857142856734694,0.0,0.0,0.2857142856734694,0.6239988726882664
17,4,1,VERB,0.25,0.5,1.0,0.0701897665858268,7.808491971102076,1.0,2.0,8.0,0.2499999999375,0.2499999999375,0.0,0.2499999999375,0.499999999875,0.4110160585172667
18,4,1,VERB,0.0,1.0,1.0,0.2068639546632766,7.638108359009302,1.0,2.0,8.5,0.2499999999375,0.2499999999375,0.0,0.2499999999375,0.499999999875,0.4592619657102585
19,5,1,VERB,0.2,0.8,1.0,0.2322348803281784,6.814472876065213,1.0,2.321928094887362,9.6,0.19999999996,0.39999999992,0.0,0.19999999996,0.79999999984,0.4921834545460867
20,4,1,VERB,0.0,1.0,1.0,0.3387213051319122,8.461178120950807,1.0,2.0,9.5,0.2499999999375,0.499999999875,0.0,0.2499999999375,0.7499999998125,0.6742996652635972
21,4,1,VERB,0.25,0.5,0.75,0.1692374497652053,4.647954338045762,1.0,2.0,5.25,0.0,0.499999999875,0.0,0.0,0.7499999998125,0.7063852996114478
22,4,1,VERB,0.25,0.5,0.75,0.1397200375795364,5.767211504744575,1.0,2.0,2.75,0.0,0.499999999875,0.0,0.0,0.499999999875,0.7030077700697529
23,4,1,VERB,0.0,0.75,0.75,0.0840691849589347,6.919265694293683,1.0,2.0,7.0,0.0,0.2499999999375,0.0,0.0,0.2499999999375,0.7212125112059388
24,8,1,VERB,0.125,0.375,0.625,0.1149592399597168,5.085816242855617,1.0,3.0,3.875,0.0,0.24999999996875,0.0,0.0,0.4999999999375,0.7243052844039092
25,6,1,VERB,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.1404737085103988,4.625302893744315,1.0,2.584962500721156,3.6666666666666665,0.3333333332777777,0.3333333332777777,0.0,0.0,0.6666666665555555,0.6471583027520815
26,10,2,VERB,0.2,0.2,0.6,0.0808104947209358,5.248992671177765,0.9,3.121928094887362,1.7,0.1111111110987654,0.2222222221975308,0.0,0.0,0.3333333332962963,0.8036952573074767
27,5,1,VERB,0.2,0.6,0.8,0.0846686735749244,6.88058472816373,1.0,2.321928094887362,8.6,0.0,0.19999999996,0.0,0.19999999996,0.59999999988,0.6511183335738548
28,16,1,VERB,0.25,0.1875,0.5,0.0905146449804306,5.138625143526461,0.9375,3.875,1.75,0.0,0.0666666666622222,0.0,0.0666666666622222,0.3999999999733333,0.6256556700868559
29,8,1,VERB,0.125,0.375,0.625,0.2397132366895675,4.387225074657872,1.0,3.0,1.625,0.0,0.24999999996875,0.0,0.0,0.4999999999375,0.7148411657895698
30,3,1,VERB,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1131658181548118,5.453108998550107,1.0,1.584962500721156,6.666666666666667,0.0,0.6666666664444444,0.0,0.3333333332222222,0.9999999996666666,0.6824834614538023
31,10,1,VERB,0.1,0.5,0.6,0.1470143049955368,5.915254980289966,1.0,3.321928094887362,1.6,0.0,0.0,0.0,0.0,0.19999999998,0.5560062154363004
32,13,1,VERB,0.0769230769230769,0.3076923076923077,0.4615384615384615,0.1630461812019348,5.517931986513362,0.9230769230769232,3.5465935642949384,1.5384615384615383,0.0,0.0833333333263888,0.0,0.0,0.4166666666319444,0.604033117918327
33,12,1,VERB,0.0833333333333333,0.25,0.4166666666666667,0.1668581217527389,5.359804663511607,0.9166666666666666,3.418295834054489,1.6666666666666667,0.0,0.0909090909008264,0.0,0.0,0.3636363636033057,0.479614710020367
34,11,1,VERB,0.2727272727272727,0.1818181818181818,0.4545454545454545,0.1792554408311844,4.141508382632759,1.0,3.459431618637298,5.545454545454546,0.0909090909008264,0.1818181818016528,0.0,0.0909090909008264,0.3636363636033057,0.7861034985713894
35,16,1,VERB,0.0625,0.3125,0.5,0.1071930900216102,4.465959718355723,0.875,3.702819531114783,0.8125,0.0714285714234693,0.0714285714234693,0.0,0.0714285714234693,0.3571428571173469,0.7537292771290719
36,6,1,NOUN,0.1666666666666666,0.6666666666666666,0.8333333333333334,0.0657230392098426,5.951229021417599,1.0,2.584962500721156,3.0,0.0,0.1666666666388888,0.0,0.0,0.3333333332777777,0.6554659173801795
37,8,1,VERB,0.125,0.5,0.625,0.0966663211584091,4.772379803349298,0.875,2.75,2.0,0.0,0.1428571428367347,0.0,0.0,0.2857142856734694,0.7228800344410475
38,16,1,VERB,0.125,0.375,0.5625,0.1738232970237732,4.013436914260529,0.6875,3.25,1.375,0.0909090909008264,0.0,0.0,0.0909090909008264,0.2727272727024793,0.5424533387317592
39,13,1,DET,0.0769230769230769,0.5384615384615384,0.6153846153846154,0.1737168878316879,5.16513148543907,1.0,3.7004397181410926,4.153846153846154,0.0,0.0,0.0,0.0769230769171597,0.0769230769171597,0.2453247603413215
